# Movement History for user "default", ordered from oldest to newest. This has random values
# Date, Amount, Balance 
2018-10-29,1050.50,5005.72
2018-12-03,-1150.00,5318.53
2019-01-03,-7150.00,5123.01
2019-02-01,9150.00,5512.12
2019-02-03,1150.00,5342.12
2018-10-29,1050.50,5005.72
2018-12-03,-1150.00,5318.53
2019-01-03,-7150.00,5123.01
2019-02-01,9150.00,5512.12
2019-02-03,1150.00,5342.12
2018-10-29,1050.50,5005.72
2018-12-03,-1150.00,5318.53
2019-01-03,-7150.00,5123.01
2019-02-01,9150.00,5512.12
2019-02-03,1150.00,5342.12
